MUESTRA,PUNTO,LADO,COOR1,COOR2,EDAD,SEXO,EDAD.SEXO,LONG.TOT,ANTREAL1,ANTREAL2,ANTREAL3,ANTREAL4,ANTTOT,DIAMCAB,UNA,EMPODIO3,MAN,DENS,MUCRON,FURTOT,PAO,OJO,TORAX2,ABDOM1,ABDOM4,ABDOM5,ABDOM6,ABDOMTOT
P,E,Izquierdo,8,137,Adulto,Macho,Adulto-Macho,1100,30,40,46,74,47,192,28,14,70,30,18,118,18,12,140,104,140,80,20,344
P,E,Izquierdo,8,140,Adulto,Macho,Adulto-Macho,1200,30,44,44,74,48,216,30,14,64,34,20,118,18,10,148,108,146,82,14,350
P,E,Izquierdo,10,144,Adulto,Macho,Adulto-Macho,1240,30,48,48,78,54,200,36,16,70,30,20,120,18,10,150,106,160,90,16,372
P,E,Izquierdo,13,137,Desconocido,Desconocido,Desconocido-Desconocido,1340,30,50,50,86,60,240,40,18,60,40,20,120,12,170,134,160,82,18,0,260
P,E,Izquierdo,13,140,Adulto,Hembra,Adulto-Hembra,1460,30,50,52,84,60,248,38,18,60,40,20,120,0,190,130,146,94,18,0,258
P,E,Izquierdo,9,140,Adulto,Macho,Adulto-Macho,1420,30,50,48,88,60,232,36,16,60,40,18,118,10,184,130,172,90,18,0,280
P,E,Izquierdo,8,137,Desconocido,Desconocido,Desconocido-Desconocido,1480,30,50,56,84,62,248,38,20,60,44,22,126,0,180,132,160,100,18,0,278
P,E,Izquierdo,9,139,Adulto,Hembra,Adulto-Hembra,1420,34,52,50,80,60,232,32,16,70,40,18,128,10,180,128,168,88,18,0,274
Q,E,Derecho,11,140,Adulto,Hembra,Adulto-Hembra,1660,38,56,60,96,77,288,44,20,70,40,22,132,12,196,150,200,80,20,0,300
Q,E,Derecho,12,137,Joven,Desconocido,Joven-Desconocido,820,20,30,54,54,31,160,20,10,50,20,10,80,0,100,70,126,40,18,0,184
Q,E,Derecho,13,143,Joven,Desconocido,Joven-Desconocido,500,16,18,20,42,86,104,14,6,30,14,8,52,6,60,40,50,36,10,0,96
Q,E,Derecho,14,136,Adulto,Hembra,Adulto-Hembra,1720,36,76,64,100,82,280,44,22,80,50,24,154,0,200,160,200,116,32,0,348
Q,E,Derecho,14,140,Adulto,Hembra,Adulto-Hembra,1620,36,58,54,90,71,280,44,20,80,46,24,150,22,0,200,150,180,0,0,330
Q,E,Derecho,13,134,Preadulto,Macho,Preadulto-Macho,1160,26,44,44,70,44,216,30,14,60,32,18,110,16,0,134,100,130,80,14,324
Q,E,Derecho,13,140,Joven,Desconocido,Joven-Desconocido,860,20,34,36,60,27,168,22,10,50,24,14,88,12,0,110,80,88,58,10,236
Q,E,Derecho,8,138,Adulto,Hembra,Adulto-Hembra,1480,34,52,54,82,63,264,38,20,70,40,20,130,22,0,180,132,170,90,20,412
Q,E,Derecho,10,138,Adulto,Hembra,Adulto-Hembra,1720,34,58,60,90,73,264,40,20,80,46,20,146,22,0,214,156,190,114,18,478
Q,E,Derecho,10,142,Desconocido,Desconocido,Desconocido-Desconocido,1380,22,42,48,78,47,208,38,16,60,42,20,122,20,12,166,122,170,108,20,420
Q,E,Derecho,13,138,Adulto,Hembra,Adulto-Hembra,1700,30,58,56,90,69,304,40,16,80,44,26,150,24,0,200,142,200,120,24,486
